Departure Time,Destination,Destination Airport IATA,Flight No,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
09:00,Nice,NCE,CM033,,,x,,,,
10:00,Nice,NCE,CM033,,,,,x,,x
11:05,Amsterdam,AMS,CM029,x,x,x,x,x,x,x
12:20,Prague,PRG,CM093,,,x,,,,
09:00,Rome,FCO,CM089,,x,,,,,
10:10,Rome,FCO,CM089,,,,,,x,
10:15,Málaga,AGP,CM063,,,x,,,,
10:15,Málaga,AGP,CM063,,x,,,x,,
10:15,Berlin,TXL,CM043,x,,,,,x,x
10:25,Berlin,TXL,CM043,,,,,x,,
10:35,Berlin,TXL,CM043,,x,x,x,,,
15:35,Berlin,TXL,CM044,x,x,x,x,x,x,x
12:25,Minsk,MSQ,CM065,,,,x,,,
12:40,Minsk,MSQ,CM065,x,,,,,,
10:10,London,LGW,CM049,x,,,,,,
10:15,London,LGW,CM027,,,,x,,,
11:00,London,LGW,CM027,,x,,,,,
11:10,London,LGW,CM049,,x,,,,,
11:20,London,LGW,CM027,,,,,,x,x
11:35,London,LGW,CM027,,,,,x,,
11:45,London,LGW,CM027,x,,x,,,,
11:45,London,LGW,CM049,,,,x,,,
13:00,London,LGW,CM015,x,x,x,x,x,x,x
09:00,Lviv,LWO,CM089,,x,,,,,
09:00,Lviv,LWO,CM097,x,,,,,,
10:10,Lviv,LWO,CM089,,,,,,x,
09:00,Geneva,GVA,CM097,x,,,,,,